entity,token_type,subj,property,query_fwd,query_rev,fwd_choices,rev_choices,answer_fwd,answer_rev,foil1,foil2,foil3,orig_entity
cow,entity,cow,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['walking', 'flying', 'slithering', 'hopping']","['cow', 'bee', 'dog', 'bee']",walking,cow,slithering,flying,hopping,cow
cow,entity,cow,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['live birth', 'laying eggs', 'fragmentation', 'budding']","['cat', 'cow', 'bee', 'fish']",live birth,cow,laying eggs,budding,fragmentation,cow
cow,entity,cow,produces,a <subj> makes <answer>,<answer> is made by <subj>,"['milk', 'honey', 'caviar', 'webs']","['cow', 'fish', 'pig', 'bee']",milk,cow,webs,caviar,honey,cow
bird,entity,bird,has,<subj> have <answer>,<answer> are found on <subj>,"['wings', 'four legs', 'fins']","['dog', 'bird', 'dog', 'fish']",wings,bird,fins,four legs,,bird
bird,entity,bird,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['chirp', 'meow', 'moo', 'bark']","['dog', 'bird', 'cow', 'bee']",chirp,bird,bark,moo,meow,bird
bird,entity,bird,builds,a <subj> makes a <answer>,<answer> is made by <subj>,"['nest', 'web', 'hole']","['pig', 'bird', 'fish', 'snake']",nest,bird,web,hole,,bird
bird,entity,bird,genus,a <subj> is a <answer>,one type of <answer> is a <subj>,"['aves', 'mammal', 'reptile', 'insect']","['bird', 'dog', 'bee', 'snake']",aves,bird,mammal,reptile,insect,bird
bird,entity,bird,is_wild,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['wild', 'domesticated']","['bird', 'dog', 'cow', 'pig']",wild,bird,domesticated,,,bird
bird,entity,bird,can,<subj> can <answer>,one animal that can <answer> is a <subj>,"['fly', 'gallop', 'swim', 'run']","['pig', 'bird', 'bee', 'bee']",fly,bird,run,gallop,swim,bird
bird,entity,bird,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['flying', 'swimming', 'galloping', 'slithering']","['cat', 'bird', 'fish', 'bee']",flying,bird,galloping,slithering,swimming,bird
bird,entity,bird,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['laying eggs', 'live birth', 'budding', 'fragmentation']","['cow', 'bird', 'cow', 'snake']",laying eggs,bird,live birth,budding,fragmentation,bird
bee,entity,bee,can,<subj> can <answer>,one animal that can <answer> is a <subj>,"['fly', 'gallop', 'swim', 'run']","['bee', 'cow', 'pig', 'fish']",fly,bee,run,gallop,swim,bee
bee,entity,bee,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['buzz', 'meow', 'moo', 'bark']","['dog', 'bee', 'snake', 'dog']",buzz,bee,bark,moo,meow,bee
bee,entity,bee,genus,a <subj> is a <answer>,one type of <answer> is a <subj>,"['insect', 'mammal', 'reptile', 'aves']","['dog', 'bee', 'snake', 'fish']",insect,bee,mammal,reptile,aves,bee
bee,entity,bee,has,<subj> have <answer>,<answer> are found on <subj>,"['wings', 'four legs', 'fins']","['cow', 'bee', 'fish', 'dog']",wings,bee,fins,four legs,,bee
bee,entity,bee,produces,a <subj> makes <answer>,<answer> is made by <subj>,"['honey', 'caviar', 'webs', 'milk']","['bee', 'snake', 'dog', 'pig']",honey,bee,webs,caviar,milk,bee
bee,entity,bee,builds,a <subj> makes a <answer>,<answer> is made by <subj>,"['hive', 'nests', 'web', 'hole']","['cow', 'pig', 'bee', 'snake']",hive,bee,web,hole,nests,bee
bee,entity,bee,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['six legs', 'no legs', 'two legs', 'four legs']","['dog', 'bee', 'snake', 'cow']",six legs,bee,two legs,no legs,four legs,bee
bee,entity,bee,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['keep', 'ride', 'pet', 'eat']","['bee', 'snake', 'cow', 'pig']",keep,bee,eat,ride,pet,bee
bee,entity,bee,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['flying', 'galloping', 'slithering', 'hopping']","['bee', 'cat', 'pig', 'fish']",flying,bee,galloping,slithering,hopping,bee
fish,entity,fish,can,<subj> can <answer>,one animal that can <answer> is a <subj>,"['swim', 'fly', 'gallop', 'run']","['fish', 'dog', 'cow', 'snake']",swim,fish,run,gallop,fly,fish
fish,entity,fish,is_wild,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['wild', 'domesticated']","['fish', 'cow', 'pig', 'bird']",wild,fish,domesticated,,,fish
fish,entity,fish,has,<subj> have <answer>,one animal that has <answer> is <subj>,"['scales', 'feathers', 'fur']","['cow', 'fish', 'bird', 'snake']",scales,fish,fur,feathers,,fish
fish,entity,fish,breathes,<subj> breathe <answer>,one animal that can breathe <answer> is a <subj>,"['underwater', 'dirt', 'air']","['fish', 'dog', 'cat', 'snake']",underwater,fish,air,dirt,,fish
fish,entity,fish,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['eat', 'ride', 'pet']","['fish', 'snake', 'dog', 'snake']",eat,fish,eat,ride,pet,fish
fish,entity,fish,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['no legs', 'six legs', 'four legs', 'two legs']","['pig', 'fish', 'snake', 'snake']",no legs,fish,two legs,six legs,four legs,fish
fish,entity,fish,live_in,<subj> live in <answer>,<answer> is the home of <subj>,"['water', 'trees', 'nests', 'caves']","['bird', 'fish', 'cat', 'bee']",water,fish,caves,trees,nests,fish
fish,entity,fish,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['swimming', 'flying', 'walking', 'galloping']","['cow', 'pig', 'bird', 'fish']",swimming,fish,galloping,flying,walking,fish
fish,entity,fish,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['laying eggs', 'live birth', 'budding', 'fragmentation']","['dog', 'bird', 'bee', 'fish']",laying eggs,fish,live birth,budding,fragmentation,fish
fish,entity,fish,produces,some <subj> make <answer>,<answer> is made by <subj>,"['caviar', 'honey', 'webs', 'milk']","['bee', 'fish', 'cat', 'bee']",caviar,fish,webs,milk,honey,fish
snake,entity,snake,has,<subj> have <answer>,one animal that has <answer> is <subj>,"['scales', 'feathers', 'fur']","['fish', 'snake', 'cow', 'fish']",scales,snake,fur,feathers,,snake
snake,entity,snake,is_wild,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['wild', 'domesticated']","['cow', 'snake', 'pig', 'bee']",wild,snake,domesticated,,,snake
snake,entity,snake,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['hiss', 'moo', 'bark', 'chirp']","['cat', 'cow', 'bird', 'snake']",hiss,snake,bark,moo,chirp,snake
snake,entity,snake,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['no legs', 'six legs', 'four legs', 'two legs']","['snake', 'dog', 'bird', 'bee']",no legs,snake,two legs,six legs,four legs,snake
snake,entity,snake,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['slithering', 'flying', 'walking', 'galloping']","['cow', 'bee', 'snake', 'dog']",slithering,snake,galloping,flying,walking,snake
snake,entity,snake,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['laying eggs', 'live birth', 'budding', 'fragmentation']","['bee', 'snake', 'dog', 'bee']",laying eggs,snake,live birth,budding,fragmentation,snake
snake,entity,snake,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['avoid', 'ride', 'pet']","['dog', 'fish', 'snake', 'cat']",avoid,snake,pet,ride,,snake
dog,typical_token,Labrador,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['bark', 'meow', 'moo']","['Labrador', 'Holstein', 'Ninia', 'Tamworth']",bark,<subj>,meow,moo,,dog
dog,typical_token,Labrador,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['pet', 'ride', 'eat']","['Labrador', 'Hampshire', 'trout', 'Ninia']",pet,<subj>,eat,ride,,dog
dog,typical_token,Labrador,genus,a <subj> is a <answer>,one type of <answer> is a <subj>,"['mammal', 'aves', 'reptile', 'insect']","['Labrador', 'Tamworth', 'Holstein', 'trout']",mammal,<subj>,aves,reptile,insect,dog
dog,typical_token,Labrador,is_domesticated,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['domesticated', 'wild']","['Labrador', 'Vaynol', 'Maine Coon', 'grouper']",domesticated,<subj>,wild,,,dog
dog,typical_token,Labrador,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['four legs', 'six legs', 'no legs', 'two legs']","['Labrador', 'grouper', 'Holstein', 'Andrena']",four legs,<subj>,two legs,six legs,no legs,dog
dog,typical_token,Labrador,has,<subj> have <answer>,<answer> are found on <subj>,"['fur', 'feathers', 'scales']","['Labrador', 'Andrena', 'grouper', 'Vaynol']",fur,<subj>,scales,feathers,,dog
dog,typical_token,Labrador,likes_to,<subj> like to <answer>,to <answer> is something enjoyed by <subj>,"['fetch', 'fly', 'graze']","['Labrador', 'grouper', 'Siamese', 'cobra']",fetch,<subj>,fly,graze,,dog
dog,typical_token,Labrador,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['walking', 'flying', 'slithering', 'hopping']","['Labrador', 'Andrena', 'Holstein', 'trout']",walking,<subj>,slithering,flying,hopping,dog
dog,typical_token,Labrador,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['live birth', 'laying eggs', 'fragmentation', 'budding']","['Labrador', 'Hampshire', 'Tamworth', 'bumblebee']",live birth,<subj>,laying eggs,budding,fragmentation,dog
dog,rare_token,Puli,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['bark', 'meow', 'moo']","['Puli', 'trout', 'Tamworth', 'Holstein']",bark,<subj>,meow,moo,,dog
dog,rare_token,Puli,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['pet', 'ride', 'eat']","['Puli', 'grouper', 'Siamese', 'sparrow']",pet,<subj>,eat,ride,,dog
dog,rare_token,Puli,genus,a <subj> is a <answer>,one type of <answer> is a <subj>,"['mammal', 'aves', 'reptile', 'insect']","['Puli', 'Tamworth', 'Holstein', 'Maine Coon']",mammal,<subj>,aves,reptile,insect,dog
dog,rare_token,Puli,is_domesticated,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['domesticated', 'wild']","['Puli', 'Owlet', 'Andrena', 'Hampshire']",domesticated,<subj>,wild,,,dog
dog,rare_token,Puli,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['four legs', 'six legs', 'no legs', 'two legs']","['Puli', 'Hampshire', 'Holstein', 'Ninia']",four legs,<subj>,two legs,six legs,no legs,dog
dog,rare_token,Puli,has,<subj> have <answer>,<answer> are found on <subj>,"['fur', 'feathers', 'scales']","['Puli', 'trout', 'bumblebee', 'sparrow']",fur,<subj>,scales,feathers,,dog
dog,rare_token,Puli,likes_to,<subj> like to <answer>,to <answer> is something enjoyed by <subj>,"['fetch', 'fly', 'graze']","['Puli', 'Ninia', 'sparrow', 'Holstein']",fetch,<subj>,fly,graze,,dog
dog,rare_token,Puli,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['walking', 'flying', 'slithering', 'hopping']","['Puli', 'Hampshire', 'Ninia', 'grouper']",walking,<subj>,slithering,flying,hopping,dog
dog,rare_token,Puli,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['live birth', 'laying eggs', 'fragmentation', 'budding']","['Puli', 'Vaynol', 'Hampshire', 'sparrow']",live birth,<subj>,laying eggs,budding,fragmentation,dog
cat,typical_token,Siamese,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['meow', 'moo', 'bark', 'chirp']","['Siamese', 'cobra', 'Puli', 'bumblebee']",meow,<subj>,bark,moo,chirp,cat
cat,typical_token,Siamese,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['pet', 'ride', 'eat']","['Siamese', 'sparrow', 'Puli', 'Ninia']",pet,<subj>,eat,ride,,cat
cat,typical_token,Siamese,food,food for a <subj> must be <answer>,<answer> is the appropriate food for a <subj>,"['meat', 'grass', 'grain']","['Siamese', 'Holstein', 'grouper', 'bumblebee']",meat,<subj>,grain,grass,,cat
cat,typical_token,Siamese,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['four legs', 'six legs', 'eight legs', 'two legs']","['Siamese', 'sparrow', 'grouper', 'bumblebee']",four legs,<subj>,two legs,six legs,eight legs,cat
cat,typical_token,Siamese,is_domesticated,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['domesticated', 'wild']","['Siamese', 'sparrow', 'bumblebee', 'Owlet']",domesticated,<subj>,wild,,,cat
cat,typical_token,Siamese,has,a <subj> has <answer>,an animal with <answer> is a <subj>,"['claws', 'flippers', 'wings', 'fins']","['Siamese', 'Puli', 'trout', 'sparrow']",claws,<subj>,flippers,fins,wings,cat
cat,typical_token,Siamese,has,<subj> have <answer>,<answer> are found on <subj>,"['fur', 'feathers', 'scales']","['Siamese', 'bumblebee', 'grouper', 'Ninia']",fur,<subj>,scales,feathers,,cat
cat,typical_token,Siamese,likes_to,<subj> like to <answer>,to <answer> is something enjoyed by <subj>,"['chase', 'fly', 'graze', 'fetch']","['Siamese', 'sparrow', 'Holstein', 'bumblebee']",chase,<subj>,fly,graze,fetch,cat
cat,typical_token,Siamese,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['walking', 'flying', 'slithering', 'hopping']","['Siamese', 'Andrena', 'Vaynol', 'Tamworth']",walking,<subj>,slithering,flying,hopping,cat
cat,typical_token,Siamese,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['live birth', 'laying eggs', 'fragmentation', 'budding']","['Siamese', 'trout', 'bumblebee', 'Labrador']",live birth,<subj>,laying eggs,budding,fragmentation,cat
cat,rare_token,Maine Coon,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['meow', 'moo', 'bark', 'chirp']","['Maine Coon', 'Andrena', 'Ninia', 'Owlet']",meow,<subj>,bark,moo,chirp,cat
cat,rare_token,Maine Coon,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['pet', 'ride', 'eat']","['Maine Coon', 'sparrow', 'grouper', 'Tamworth']",pet,<subj>,eat,ride,,cat
cat,rare_token,Maine Coon,food,food for a <subj> must be <answer>,<answer> is the appropriate food for a <subj>,"['meat', 'grass', 'grain']","['Maine Coon', 'Vaynol', 'trout', 'grouper']",meat,<subj>,grain,grass,,cat
cat,rare_token,Maine Coon,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['four legs', 'six legs', 'eight legs', 'two legs']","['Maine Coon', 'Puli', 'Owlet', 'Ninia']",four legs,<subj>,two legs,six legs,eight legs,cat
cat,rare_token,Maine Coon,is_domesticated,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['domesticated', 'wild']","['Maine Coon', 'Holstein', 'cobra', 'Puli']",domesticated,<subj>,wild,,,cat
cat,rare_token,Maine Coon,has,a <subj> has <answer>,an animal with <answer> is a <subj>,"['claws', 'flippers', 'wings', 'fins']","['Maine Coon', 'Tamworth', 'bumblebee', 'Ninia']",claws,<subj>,flippers,fins,wings,cat
cat,rare_token,Maine Coon,has,<subj> have <answer>,<answer> are found on <subj>,"['fur', 'feathers', 'scales']","['Maine Coon', 'Holstein', 'Ninia', 'cobra']",fur,<subj>,scales,feathers,,cat
cat,rare_token,Maine Coon,likes_to,<subj> like to <answer>,to <answer> is something enjoyed by <subj>,"['chase', 'fly', 'graze', 'fetch']","['Maine Coon', 'grouper', 'sparrow', 'Owlet']",chase,<subj>,fly,graze,fetch,cat
cat,rare_token,Maine Coon,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['walking', 'flying', 'slithering', 'hopping']","['Maine Coon', 'Vaynol', 'Holstein', 'bumblebee']",walking,<subj>,slithering,flying,hopping,cat
cat,rare_token,Maine Coon,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['live birth', 'laying eggs', 'fragmentation', 'budding']","['Maine Coon', 'Labrador', 'trout', 'bumblebee']",live birth,<subj>,laying eggs,budding,fragmentation,cat
cow,typical_token,Holstein,is_domesticated,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['domesticated', 'wild']","['Holstein', 'Siamese', 'Labrador', 'Puli']",domesticated,<subj>,wild,,,cow
cow,typical_token,Holstein,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['four legs', 'six legs', 'eight legs', 'two legs']","['Holstein', 'sparrow', 'cobra', 'Hampshire']",four legs,<subj>,two legs,six legs,eight legs,cow
cow,typical_token,Holstein,food,food for a <subj> must be <answer>,<answer> is the appropriate food for a <subj>,"['grain', 'insects', 'meat']","['Holstein', 'Puli', 'sparrow', 'trout']",grain,<subj>,meat,insects,,cow
cow,typical_token,Holstein,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['eat', 'ride', 'pet']","['Holstein', 'Hampshire', 'sparrow', 'Tamworth']",eat,<subj>,pet,ride,,cow
cow,typical_token,Holstein,genus,a <subj> is a <answer>,one type of <answer> is a <subj>,"['mammal', 'aves', 'reptile', 'insect']","['Holstein', 'Tamworth', 'cobra', 'sparrow']",mammal,<subj>,aves,reptile,insect,cow
cow,typical_token,Holstein,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['moo', 'meow', 'bark']","['Holstein', 'Labrador', 'Tamworth', 'Ninia']",moo,<subj>,meow,bark,,cow
cow,typical_token,Holstein,has,<subj> have <answer>,<answer> are found on <subj>,"['hooves', 'wings', 'fins', 'tentacles']","['Holstein', 'Hampshire', 'grouper', 'Owlet']",hooves,<subj>,wings,fins,tentacles,cow
cow,typical_token,Holstein,has,<subj> have <answer>,<answer> are found on <subj>,"['fur', 'feathers', 'scales']","['Holstein', 'Ninia', 'trout', 'Owlet']",fur,<subj>,scales,feathers,,cow
cow,typical_token,Holstein,likes_to,<subj> like to <answer>,to <answer> is something enjoyed by <subj>,"['graze', 'chase', 'fly', 'fetch']","['Holstein', 'trout', 'Tamworth', 'Andrena']",graze,<subj>,fly,chase,fetch,cow
cow,typical_token,Holstein,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['walking', 'flying', 'slithering', 'hopping']","['Holstein', 'bumblebee', 'Andrena', 'Puli']",walking,<subj>,slithering,flying,hopping,cow
cow,typical_token,Holstein,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['live birth', 'laying eggs', 'fragmentation', 'budding']","['Holstein', 'grouper', 'Siamese', 'Andrena']",live birth,<subj>,laying eggs,budding,fragmentation,cow
cow,typical_token,Holstein,produces,a <subj> makes <answer>,<answer> is made by <subj>,"['milk', 'honey', 'caviar', 'webs']","['Holstein', 'Andrena', 'trout', 'Tamworth']",milk,<subj>,webs,caviar,honey,cow
cow,rare_token,Vaynol,is_domesticated,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['domesticated', 'wild']","['Vaynol', 'Hampshire', 'Puli', 'trout']",domesticated,<subj>,wild,,,cow
cow,rare_token,Vaynol,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['four legs', 'six legs', 'eight legs', 'two legs']","['Vaynol', 'Andrena', 'Puli', 'Siamese']",four legs,<subj>,two legs,six legs,eight legs,cow
cow,rare_token,Vaynol,food,food for a <subj> must be <answer>,<answer> is the appropriate food for a <subj>,"['grain', 'insects', 'meat']","['Vaynol', 'Owlet', 'trout', 'Tamworth']",grain,<subj>,meat,insects,,cow
cow,rare_token,Vaynol,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['eat', 'ride', 'pet']","['Vaynol', 'grouper', 'Ninia', 'sparrow']",eat,<subj>,pet,ride,,cow
cow,rare_token,Vaynol,genus,a <subj> is a <answer>,one type of <answer> is a <subj>,"['mammal', 'aves', 'reptile', 'insect']","['Vaynol', 'Tamworth', 'Hampshire', 'Puli']",mammal,<subj>,aves,reptile,insect,cow
cow,rare_token,Vaynol,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['moo', 'meow', 'bark']","['Vaynol', 'grouper', 'trout', 'Maine Coon']",moo,<subj>,meow,bark,,cow
cow,rare_token,Vaynol,has,<subj> have <answer>,<answer> are found on <subj>,"['hooves', 'wings', 'fins', 'tentacles']","['Vaynol', 'Tamworth', 'Owlet', 'Hampshire']",hooves,<subj>,wings,fins,tentacles,cow
cow,rare_token,Vaynol,has,<subj> have <answer>,<answer> are found on <subj>,"['fur', 'feathers', 'scales']","['Vaynol', 'cobra', 'trout', 'Andrena']",fur,<subj>,scales,feathers,,cow
cow,rare_token,Vaynol,likes_to,<subj> like to <answer>,to <answer> is something enjoyed by <subj>,"['graze', 'chase', 'fly', 'fetch']","['Vaynol', 'Siamese', 'Owlet', 'cobra']",graze,<subj>,fly,chase,fetch,cow
cow,rare_token,Vaynol,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['walking', 'flying', 'slithering', 'hopping']","['Vaynol', 'grouper', 'Owlet', 'Labrador']",walking,<subj>,slithering,flying,hopping,cow
cow,rare_token,Vaynol,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['live birth', 'laying eggs', 'fragmentation', 'budding']","['Vaynol', 'Siamese', 'Andrena', 'Owlet']",live birth,<subj>,laying eggs,budding,fragmentation,cow
cow,rare_token,Vaynol,produces,a <subj> makes <answer>,<answer> is made by <subj>,"['milk', 'honey', 'caviar', 'webs']","['Vaynol', 'Tamworth', 'Hampshire', 'Puli']",milk,<subj>,webs,caviar,honey,cow
bird,typical_token,sparrow,has,<subj> have <answer>,<answer> are found on <subj>,"['wings', 'four legs', 'fins']","['sparrow', 'grouper', 'Puli', 'Labrador']",wings,<subj>,fins,four legs,,bird
bird,typical_token,sparrow,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['chirp', 'meow', 'moo', 'bark']","['sparrow', 'Andrena', 'Vaynol', 'Labrador']",chirp,<subj>,bark,moo,meow,bird
bird,typical_token,sparrow,builds,a <subj> makes a <answer>,<answer> is made by <subj>,"['nest', 'web', 'hole']","['sparrow', 'Hampshire', 'grouper', 'Ninia']",nest,<subj>,web,hole,,bird
bird,typical_token,sparrow,genus,a <subj> is a <answer>,one type of <answer> is a <subj>,"['aves', 'mammal', 'reptile', 'insect']","['sparrow', 'Andrena', 'Puli', 'Ninia']",aves,<subj>,mammal,reptile,insect,bird
bird,typical_token,sparrow,is_wild,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['wild', 'domesticated']","['sparrow', 'Puli', 'Tamworth', 'Vaynol']",wild,<subj>,domesticated,,,bird
bird,typical_token,sparrow,can,<subj> can <answer>,one animal that can <answer> is a <subj>,"['fly', 'gallop', 'swim', 'run']","['sparrow', 'Andrena', 'Hampshire', 'bumblebee']",fly,<subj>,run,gallop,swim,bird
bird,typical_token,sparrow,has,<subj> have <answer>,<answer> are found on <subj>,"['feathers', 'fur', 'scales']","['sparrow', 'grouper', 'Maine Coon', 'Holstein']",feathers,<subj>,scales,fur,,bird
bird,typical_token,sparrow,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['flying', 'swimming', 'galloping', 'slithering']","['sparrow', 'Siamese', 'Andrena', 'trout']",flying,<subj>,galloping,slithering,swimming,bird
bird,typical_token,sparrow,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['laying eggs', 'live birth', 'budding', 'fragmentation']","['sparrow', 'Vaynol', 'Holstein', 'Ninia']",laying eggs,<subj>,live birth,budding,fragmentation,bird
bird,rare_token,Owlet,has,<subj> have <answer>,<answer> are found on <subj>,"['wings', 'four legs', 'fins']","['Owlet', 'trout', 'Siamese', 'Hampshire']",wings,<subj>,fins,four legs,,bird
bird,rare_token,Owlet,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['chirp', 'meow', 'moo', 'bark']","['Owlet', 'Siamese', 'Maine Coon', 'Vaynol']",chirp,<subj>,bark,moo,meow,bird
bird,rare_token,Owlet,builds,a <subj> makes a <answer>,<answer> is made by <subj>,"['nest', 'web', 'hole']","['Owlet', 'trout', 'Labrador', 'grouper']",nest,<subj>,web,hole,,bird
bird,rare_token,Owlet,genus,a <subj> is a <answer>,one type of <answer> is a <subj>,"['aves', 'mammal', 'reptile', 'insect']","['Owlet', 'Hampshire', 'Maine Coon', 'Holstein']",aves,<subj>,mammal,reptile,insect,bird
bird,rare_token,Owlet,is_wild,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['wild', 'domesticated']","['Owlet', 'Andrena', 'Puli', 'Ninia']",wild,<subj>,domesticated,,,bird
bird,rare_token,Owlet,can,<subj> can <answer>,one animal that can <answer> is a <subj>,"['fly', 'gallop', 'swim', 'run']","['Owlet', 'Maine Coon', 'Puli', 'Hampshire']",fly,<subj>,run,gallop,swim,bird
bird,rare_token,Owlet,has,<subj> have <answer>,<answer> are found on <subj>,"['feathers', 'fur', 'scales']","['Owlet', 'Puli', 'Andrena', 'Ninia']",feathers,<subj>,scales,fur,,bird
bird,rare_token,Owlet,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['flying', 'swimming', 'galloping', 'slithering']","['Owlet', 'Puli', 'Tamworth', 'Maine Coon']",flying,<subj>,galloping,slithering,swimming,bird
bird,rare_token,Owlet,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['laying eggs', 'live birth', 'budding', 'fragmentation']","['Owlet', 'Siamese', 'Ninia', 'cobra']",laying eggs,<subj>,live birth,budding,fragmentation,bird
bee,typical_token,bumblebee,can,<subj> can <answer>,one animal that can <answer> is a <subj>,"['fly', 'gallop', 'swim', 'run']","['bumblebee', 'Vaynol', 'grouper', 'Tamworth']",fly,<subj>,run,gallop,swim,bee
bee,typical_token,bumblebee,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['buzz', 'meow', 'moo', 'bark']","['bumblebee', 'Labrador', 'Puli', 'cobra']",buzz,<subj>,bark,moo,meow,bee
bee,typical_token,bumblebee,genus,a <subj> is a <answer>,one type of <answer> is a <subj>,"['insect', 'mammal', 'reptile', 'aves']","['bumblebee', 'cobra', 'grouper', 'Labrador']",insect,<subj>,mammal,reptile,aves,bee
bee,typical_token,bumblebee,has,<subj> have <answer>,<answer> are found on <subj>,"['wings', 'four legs', 'fins']","['bumblebee', 'trout', 'Holstein', 'Puli']",wings,<subj>,fins,four legs,,bee
bee,typical_token,bumblebee,produces,a <subj> makes <answer>,<answer> is made by <subj>,"['honey', 'caviar', 'webs', 'milk']","['bumblebee', 'Tamworth', 'cobra', 'Puli']",honey,<subj>,webs,caviar,milk,bee
bee,typical_token,bumblebee,builds,a <subj> makes a <answer>,<answer> is made by <subj>,"['hive', 'nests', 'web', 'hole']","['bumblebee', 'cobra', 'Hampshire', 'Holstein']",hive,<subj>,web,hole,nests,bee
bee,typical_token,bumblebee,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['six legs', 'no legs', 'two legs', 'four legs']","['bumblebee', 'cobra', 'Labrador', 'Vaynol']",six legs,<subj>,two legs,no legs,four legs,bee
bee,typical_token,bumblebee,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['keep', 'ride', 'pet', 'eat']","['bumblebee', 'cobra', 'Tamworth', 'Vaynol']",keep,<subj>,eat,ride,pet,bee
bee,typical_token,bumblebee,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['flying', 'galloping', 'slithering', 'hopping']","['bumblebee', 'grouper', 'Tamworth', 'Maine Coon']",flying,<subj>,galloping,slithering,hopping,bee
